vid,appear
v2133,2647
v2134,87
v2136,1
v2137,2910
v2138,20
v2139,92
v2141,114
v2142,583
v2145,246
v2146,187
v2148,2014
v2152,3
v2153,6538
v2154,66
v2155,2
v2158,279
v2159,19
v2160,2
v2161,70
v2162,259
v2163,786
v2164,155
v2165,565
v2166,233
v2167,10
v2168,10
v2169,5
v2170,58
v2172,27
v2175,535
v2176,625
v2179,935
v2180,705
v2181,131
v2182,268
v2183,2452
v2184,361
v2185,18
v2186,855
v2187,1176
v2188,13
v2189,3318
v2190,372
v2191,3338
v2192,2837
v2193,24
v2198,573
v2199,1171
v2201,5
v2202,24
v2204,173
v2205,3075
v2206,1394
v2207,158
v2208,728
v2209,2
v2210,19
v2211,305
v2212,131
v2213,268
v2214,3543
v2215,740
v2216,794
v2217,126
v2219,1301
v2220,3456
v2224,519
v2225,2606
v2226,1095
v2228,109
v2229,6
v2230,660
v2231,762
v2232,1716
v2233,427
v2234,3
v2235,101
v2236,23
v2237,88
v2238,139
v2239,171
v2240,447
v2243,35
v2244,223
v2246,32
v2248,6
v2249,334
v2250,565
v2251,61
v2252,36
v2253,71
v2255,1813
v2258,220
v2260,10
v2261,389
v2263,205
v2265,3
v2266,1073
v2267,507
v2268,58
v2273,1766
v2277,2753
v2279,10
v2280,1293
v2282,1579
v2283,266
v2285,124
v2286,105
v2287,22
v2288,101
v2289,146
v2290,272
v2291,41
v2293,407
v2294,963
v2295,211
v2296,1011
v2297,1472
v2298,98
v2299,4
v2300,863
v2301,200
v2302,842
v2304,1203
v2305,85
v2306,4368
v2307,906
v2308,10
v2309,467
v2310,786
v2312,226
v2313,51
v2314,411
v2315,2234
v2316,3
v2320,57
v2322,643
v2323,1037
v2324,10
v2325,4305
v2326,150
v2327,7
v2330,293
v2331,6
v2333,24
v2335,5
v2337,2336
v2338,265
v2339,36
v2340,1472
v2341,1113
v2342,1395
v2343,1655
v2344,1276
v2345,551
v2346,927
v2347,531
v2348,95
v2349,92
v2350,1755
v2351,1068
v2352,690
v2353,1584
v2354,870
v2355,382
v2356,92
v2357,66
v2358,1
v2360,11
v2361,2812
v2363,375
v2364,35
v2365,116
v2366,1009
v2367,2266
v2368,6127
v2369,1235
v2370,46
v2375,5829
v2376,117
v2377,320
v2378,124
v2379,492
v2380,70
v2381,186
v2382,82
v2383,21
v2384,102
v2385,314
v2387,1
v2388,8
v2389,134
v2390,1920
v2391,55
v2392,32
v2396,784
v2397,2005
v2398,179
v2399,226
v2402,1178
v2403,43
v2404,192
v2406,3317
v2407,764
v2409,166
v2410,30
v2412,3191
v2414,1
v2415,7
v2416,44
v2418,1680
v2419,1220
v2420,889
v2422,2882
v2423,1332
v2424,716
v2425,551
v2426,2
v2427,115
v2428,474
v2432,1551
v2433,1409
v2434,669
v2435,124
v2436,274
v2437,65
v2438,103
v2441,1453
v2443,2
v2447,387
v2449,2
v2453,13
v2455,704
v2456,21
v2457,2120
v2458,66
v2461,39
v2463,482
v2465,484
v2466,326
v2467,84
v2469,71
v2471,77
v2472,3403
v2473,42
v2474,508
v2475,3
v2476,28
v2477,2386
v2478,945
v2479,1370
v2480,3652
v2483,320
v2485,89
v2486,25
v2489,8
v2495,2590
v2496,2
v2497,8
v2498,2154
v2499,4
v2500,81
v2501,95
v2505,1778
v2506,237
v2507,242
v2509,104
v2510,158
v2511,4357
v2512,48
v2513,1586
v2514,1994
v2515,1053
v2516,3068
v2517,977
v2518,712
v2519,917
v2520,327
v2521,144
v2522,725
v2525,392
v2528,1155
v2530,51
v2533,358
v2535,83
v2536,238
v2537,712
v2539,2283
v2540,43
v2541,145
v2542,327
v2544,707
v2545,880
v2546,8
v2547,23
v2552,429
v2553,42
v2555,790
v2556,2191
v2557,40
v2558,27
v2560,1707
v2561,45
v2562,11
v2563,1869
v2567,779
v2568,800
v2571,13
v2574,870
v2575,284
v2578,2527
v2579,4
v2580,7
v2581,794
v2582,484
v2583,251
v2584,74
v2585,1834
v2586,1128
v2588,12
v2589,902
v2590,1447
v2591,1253
v2592,100
v2593,9
v2595,58
v2596,3272
v2597,80
v2599,34
v2601,581
v2602,224
v2603,1002
